Wavenumber,Calcite_01,Calcite_02,Calcite_03,Calcite_04,Calcite_05,Calcite_06,Calcite_07,Calcite_08,Calcite_09,Calcite_10,Calcite_11,Calcite_12,Calcite_13,Calcite_14,Calcite_15,Calcite_16,Calcite_17,Calcite_18,Calcite_19,Calcite_20,Quartz_01,Quartz_02,Quartz_03,Quartz_04,Quartz_05,Quartz_06,Quartz_07,Quartz_08,Quartz_09,Quartz_10,Quartz_11,Quartz_12,Quartz_13,Quartz_14,Quartz_15,Quartz_16,Quartz_17,Quartz_18,Quartz_19,Quartz_20,TiO2_Anatase_01,TiO2_Anatase_02,TiO2_Anatase_03,TiO2_Anatase_04,TiO2_Anatase_05,TiO2_Anatase_06,TiO2_Anatase_07,TiO2_Anatase_08,TiO2_Anatase_09,TiO2_Anatase_10,TiO2_Anatase_11,TiO2_Anatase_12,TiO2_Anatase_13,TiO2_Anatase_14,TiO2_Anatase_15,TiO2_Anatase_16,TiO2_Anatase_17,TiO2_Anatase_18,TiO2_Anatase_19,TiO2_Anatase_20
149.306626,0.000000,0.010468,0.017939,0.035201,0.006940,0.000000,0.014962,0.001861,0.000000,0.000000,0.031576,0.000000,0.036918,0.005144,0.004796,0.000000,0.029469,0.000000,0.000000,0.000000,0.101237,0.087305,0.083523,0.080968,0.083878,0.100068,0.104357,0.055108,0.107101,0.103036,0.107382,0.101927,0.062591,0.088864,0.088711,0.111779,0.082424,0.113199,0.091366,0.064617,0.627080,0.611445,0.449822,0.508390,0.631971,0.567719,0.528290,0.604538,0.667739,0.526683,0.407105,0.675241,0.500523,0.612556,0.722372,0.580251,0.503504,0.620663,0.486928,0.501184
154.237288,0.000000,0.000000,0.050839,0.027161,0.023884,0.008960,0.015833,0.000000,0.005446,0.018421,0.016238,0.011952,0.000431,0.023465,0.013536,0.018433,0.013496,0.000000,0.012646,0.029201,0.083058,0.063809,0.082115,0.027920,0.078854,0.061296,0.058360,0.062926,0.060147,0.080843,0.079217,0.057776,0.053019,0.088184,0.059354,0.066536,0.075963,0.057178,0.074335,0.067254,0.264393,0.304034,0.238779,0.233919,0.322179,0.283164,0.236947,0.270451,0.285194,0.251922,0.208500,0.330792,0.242379,0.291058,0.341345,0.254764,0.219788,0.286297,0.241507,0.233283
159.167951,0.000000,0.000000,0.015282,0.000000,0.000000,0.004219,0.000000,0.014279,0.005144,0.003796,0.000000,0.028972,0.000000,0.000000,0.014402,0.000000,0.020270,0.037641,0.007440,0.000000,0.063665,0.060151,0.041494,0.061084,0.039255,0.066705,0.082492,0.042317,0.066940,0.055464,0.054987,0.052750,0.070423,0.059095,0.051661,0.023445,0.054922,0.052439,0.042476,0.031340,0.110897,0.132000,0.112965,0.148586,0.139509,0.130424,0.133233,0.132861,0.129770,0.156232,0.086508,0.159974,0.106646,0.141055,0.183389,0.152574,0.168835,0.106139,0.125357,0.094886
164.098613,0.000000,0.000000,0.025317,0.001273,0.000000,0.000000,0.000000,0.018415,0.000000,0.023739,0.019279,0.000000,0.000000,0.000000,0.000000,0.000000,0.005216,0.009588,0.017422,0.023674,0.033079,0.059916,0.052065,0.049264,0.051573,0.062292,0.051930,0.043344,0.041031,0.032604,0.091884,0.053744,0.020232,0.054148,0.076909,0.067831,0.069139,0.047495,0.078436,0.059501,0.114025,0.096136,0.084125,0.061367,0.090254,0.061501,0.114867,0.106690,0.090977,0.091272,0.073531,0.104744,0.078645,0.086980,0.072281,0.074491,0.084923,0.086794,0.082171,0.085727
169.029276,0.000000,0.015191,0.012550,0.000000,0.028167,0.000000,0.000000,0.001893,0.012803,0.004683,0.000000,0.005512,0.038308,0.030970,0.009559,0.000000,0.020926,0.010810,0.000000,0.000000,0.061334,0.033756,0.028966,0.075669,0.036575,0.047433,0.074938,0.054561,0.035958,0.063402,0.067258,0.069103,0.047882,0.098569,0.067347,0.100607,0.040724,0.054563,0.070059,0.063106,0.057536,0.096689,0.050303,0.054240,0.052633,0.076809,0.049359,0.066260,0.065733,0.061547,0.073772,0.061854,0.060352,0.067962,0.075986,0.067137,0.062792,0.078261,0.095089,0.068723
173.959938,0.000000,0.000000,0.000000,0.007880,0.029258,0.031380,0.019765,0.035904,0.021328,0.000000,0.013570,0.006716,0.002459,0.000000,0.023754,0.000000,0.000000,0.000074,0.026456,0.019703,0.077706,0.064787,0.066155,0.079551,0.077280,0.104243,0.073458,0.065020,0.063146,0.071453,0.071066,0.088971,0.060464,0.022242,0.037947,0.072767,0.048506,0.068807,0.067546,0.054607,0.015529,0.061520,0.056490,0.049977,0.080466,0.059118,0.027734,0.070153,0.058264,0.025947,0.041600,0.077344,0.075463,0.079753,0.046183,0.070814,0.045795,0.048769,0.060359,0.025560
178.890601,0.008119,0.001258,0.027390,0.006409,0.012157,0.000000,0.000000,0.000000,0.023421,0.023970,0.000000,0.005413,0.014505,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.090771,0.077046,0.076849,0.075295,0.088244,0.073938,0.102243,0.096324,0.085450,0.102140,0.071399,0.070587,0.083213,0.067020,0.057159,0.058519,0.094468,0.068223,0.069283,0.066700,0.026522,0.065472,0.042385,0.071481,0.074591,0.051039,0.027235,0.091891,0.046782,0.036690,0.051371,0.066290,0.062945,0.081191,0.054368,0.073181,0.046535,0.058169,0.042531,0.054283
183.821263,0.006383,0.007981,0.000000,0.052693,0.007324,0.000000,0.000000,0.000000,0.000000,0.008330,0.000000,0.000000,0.025793,0.000000,0.000000,0.000000,0.000000,0.055378,0.005913,0.000000,0.130835,0.098175,0.128159,0.109073,0.117994,0.102706,0.108912,0.092596,0.096522,0.081876,0.109496,0.093834,0.115824,0.085429,0.119689,0.097814,0.111649,0.103627,0.075042,0.096952,0.033742,0.064669,0.069822,0.062512,0.047004,0.056280,0.042429,0.075281,0.047523,0.076735,0.058436,0.086039,0.098129,0.060379,0.039018,0.102199,0.088994,0.064435,0.060021,0.066082
188.751926,0.000574,0.015700,0.000246,0.006174,0.006582,0.000110,0.008071,0.033824,0.007139,0.007549,0.011982,0.000000,0.023622,0.002130,0.000000,0.000000,0.033636,0.000000,0.000000,0.000000,0.140064,0.112271,0.144705,0.115152,0.162219,0.135673,0.131545,0.103764,0.153778,0.158080,0.185581,0.168110,0.145893,0.137110,0.162302,0.128657,0.153808,0.178533,0.143969,0.146732,0.040314,0.102939,0.069123,0.105485,0.109545,0.108553,0.048738,0.061899,0.094241,0.101778,0.089316,0.122251,0.117124,0.103444,0.097313,0.101463,0.117092,0.094086,0.064603,0.095024
193.682589,0.000000,0.000000,0.009501,0.000000,0.000000,0.000000,0.026593,0.000000,0.046435,0.007346,0.035703,0.000000,0.000000,0.000000,0.020008,0.000000,0.033654,0.003363,0.000000,0.000156,0.178329,0.209518,0.197885,0.172685,0.239206,0.197920,0.220816,0.217195,0.228748,0.192187,0.221387,0.262773,0.202743,0.236178,0.213671,0.274198,0.229297,0.234885,0.231206,0.200348,0.112083,0.163999,0.128999,0.124163,0.127485,0.172743,0.094600,0.118501,0.148221,0.163357,0.136303,0.121347,0.149121,0.155471,0.135891,0.165540,0.127018,0.156033,0.136954,0.149444
198.613251,0.000000,0.014531,0.020897,0.000000,0.032141,0.000000,0.004759,0.000000,0.000000,0.024456,0.004260,0.005208,0.022461,0.000000,0.040536,0.040149,0.000000,0.004077,0.008597,0.005469,0.302202,0.313460,0.331631,0.259628,0.362547,0.329750,0.379029,0.345021,0.351627,0.325043,0.309745,0.360484,0.325725,0.325697,0.352404,0.362740,0.365860,0.349395,0.350390,0.358165,0.146890,0.169865,0.152618,0.116351,0.152495,0.149523,0.135681,0.179335,0.144712,0.137304,0.145015,0.189684,0.176615,0.153968,0.157416,0.179863,0.162642,0.163306,0.182546,0.121471
203.543914,0.004654,0.000000,0.013115,0.008010,0.016854,0.015439,0.003911,0.029604,0.009151,0.021796,0.045449,0.012928,0.021099,0.000000,0.000000,0.015171,0.027486,0.000000,0.000000,0.000000,0.467328,0.467257,0.453880,0.409614,0.461506,0.485732,0.560358,0.427019,0.450857,0.448429,0.477513,0.480821,0.464057,0.484526,0.439496,0.439459,0.489756,0.518986,0.499710,0.466773,0.141169,0.116627,0.109064,0.085353,0.090137,0.079877,0.118171,0.090281,0.088914,0.053312,0.091059,0.083142,0.090288,0.127661,0.091055,0.097694,0.146934,0.102866,0.150610,0.087654
208.474576,0.008320,0.000427,0.013340,0.000000,0.014760,0.037832,0.000000,0.014966,0.021851,0.011987,0.055158,0.000000,0.015510,0.007887,0.021200,0.003743,0.003842,0.000000,0.000000,0.000000,0.522175,0.446700,0.470675,0.465629,0.447727,0.467147,0.501614,0.438756,0.379067,0.441803,0.481679,0.476591,0.413310,0.528475,0.460811,0.454972,0.466102,0.473635,0.449144,0.490200,0.063737,0.072077,0.041933,0.079649,0.055244,0.073802,0.067896,0.061013,0.057816,0.045626,0.051845,0.043788,0.063666,0.074988,0.097193,0.028578,0.044984,0.074957,0.080448,0.090292
213.405239,0.000000,0.000000,0.000000,0.000000,0.013227,0.000000,0.036757,0.000000,0.009354,0.000000,0.000000,0.000000,0.025847,0.012937,0.024694,0.011559,0.027517,0.000000,0.003434,0.000000,0.345071,0.296578,0.318245,0.359475,0.268294,0.311409,0.342713,0.289701,0.296796,0.326375,0.322484,0.347306,0.270577,0.373423,0.301716,0.299317,0.286718,0.308418,0.275889,0.344780,0.030694,0.009542,0.072741,0.042976,0.005512,0.020353,0.032883,0.047193,0.026733,0.028763,0.047247,0.005224,0.032244,0.005026,0.059322,0.022489,0.042475,0.079236,0.048038,0.033185
218.335901,0.000000,0.029333,0.000000,0.002074,0.026310,0.008460,0.027737,0.020970,0.019472,0.002628,0.007760,0.000000,0.000000,0.014786,0.000274,0.023100,0.002926,0.002103,0.012874,0.004400,0.242625,0.169217,0.207799,0.200082,0.219551,0.213481,0.233256,0.168264,0.156693,0.174710,0.179025,0.213644,0.167599,0.242695,0.236090,0.162511,0.196717,0.235193,0.170139,0.216217,0.025771,0.047556,0.019423,0.016472,0.029983,0.051093,0.033754,0.020893,0.034962,0.020814,0.010171,0.056996,0.011480,0.035092,0.041005,0.000000,0.041728,0.018121,0.037858,0.015767
223.266564,0.000000,0.009865,0.010962,0.016143,0.017781,0.011027,0.008276,0.000000,0.012044,0.013217,0.000000,0.007081,0.009061,0.028776,0.005143,0.000000,0.027844,0.000910,0.023563,0.013569,0.155559,0.104773,0.146048,0.149734,0.121438,0.093095,0.127643,0.118812,0.121488,0.135274,0.128460,0.119927,0.110723,0.194619,0.134399,0.106845,0.108803,0.145180,0.116001,0.144678,0.025341,0.056737,0.034594,0.007385,0.024341,0.047168,0.020970,0.006822,0.010412,0.045308,0.044201,0.013389,0.040139,0.033897,0.009770,0.023447,0.010266,0.022443,0.028456,0.014747
228.197227,0.000000,0.000000,0.000000,0.008713,0.023694,0.010694,0.000000,0.000000,0.024127,0.045420,0.009162,0.009967,0.002913,0.022508,0.000000,0.008564,0.009932,0.026026,0.025352,0.000000,0.082818,0.069473,0.052784,0.133155,0.091789,0.093258,0.099658,0.087141,0.084504,0.078331,0.059274,0.115402,0.051596,0.090842,0.095017,0.080435,0.062482,0.120186,0.110569,0.105773,0.035429,0.034438,0.000000,0.038726,0.040434,0.007290,0.014034,0.016765,0.000000,0.040243,0.000000,0.029076,0.006754,0.000000,0.001575,0.045307,0.034796,0.012006,0.012428,0.043269
233.127889,0.033128,0.008091,0.000000,0.000000,0.000000,0.011373,0.000007,0.009386,0.035773,0.022367,0.004642,0.009239,0.028592,0.025355,0.002592,0.008550,0.009049,0.000000,0.032282,0.000000,0.080458,0.064457,0.070597,0.042054,0.037686,0.062628,0.073586,0.069380,0.049887,0.059927,0.073580,0.110902,0.056275,0.070631,0.070715,0.091085,0.058325,0.054618,0.085194,0.063803,0.038415,0.021078,0.000000,0.023799,0.017350,0.056417,0.000000,0.007800,0.046679,0.019630,0.024063,0.004228,0.021815,0.042230,0.042203,0.027752,0.000000,0.005320,0.000000,0.000000
238.058552,0.002742,0.013533,0.000000,0.031036,0.024294,0.012053,0.027886,0.006393,0.011553,0.016905,0.016345,0.015239,0.006687,0.000000,0.022814,0.063934,0.017126,0.023982,0.020489,0.021904,0.039728,0.033249,0.062696,0.045216,0.065615,0.056329,0.042342,0.065759,0.076009,0.033696,0.032866,0.035617,0.057700,0.055051,0.036595,0.036374,0.059800,0.064547,0.017219,0.080902,0.000000,0.008233,0.000000,0.000000,0.012685,0.008327,0.025916,0.003220,0.019186,0.013137,0.042963,0.044156,0.008105,0.028867,0.004174,0.054584,0.025615,0.019768,0.005348,0.046647
242.989214,0.021189,0.034401,0.013059,0.011222,0.058293,0.041068,0.008920,0.000000,0.023034,0.044373,0.039428,0.000000,0.030422,0.016446,0.036324,0.023684,0.024909,0.047332,0.011106,0.014488,0.041306,0.026502,0.017587,0.039583,0.058318,0.013315,0.045469,0.035701,0.046906,0.040347,0.029324,0.025965,0.015570,0.008375,0.038275,0.022802,0.038843,0.045144,0.028534,0.008997,0.000000,0.019934,0.000000,0.000000,0.000114,0.010088,0.009654,0.020479,0.027123,0.016162,0.013385,0.000000,0.028917,0.041977,0.026933,0.018249,0.038646,0.014114,0.020880,0.001108
247.919877,0.044151,0.000000,0.000000,0.017782,0.015022,0.021626,0.044339,0.018444,0.024133,0.026949,0.045812,0.000000,0.010773,0.080813,0.034135,0.000000,0.017702,0.042985,0.000000,0.042501,0.028329,0.000000,0.066366,0.049743,0.002559,0.025291,0.051670,0.029444,0.028644,0.000000,0.022025,0.023564,0.037328,0.046789,0.000000,0.047272,0.064010,0.031964,0.075727,0.038860,0.010289,0.047484,0.000000,0.043135,0.020828,0.008784,0.005518,0.000000,0.006551,0.006408,0.022035,0.011013,0.019312,0.000000,0.046728,0.057746,0.000000,0.035170,0.022909,0.019983
252.850539,0.027413,0.018395,0.014048,0.010660,0.030114,0.038386,0.044299,0.015816,0.026314,0.037547,0.044078,0.043863,0.039118,0.073105,0.058045,0.051914,0.012963,0.015402,0.029849,0.025679,0.031915,0.010100,0.013993,0.061968,0.016168,0.009609,0.046188,0.068496,0.017104,0.020917,0.014642,0.004982,0.037758,0.029516,0.019459,0.013654,0.039171,0.013195,0.020324,0.029411,0.044455,0.038277,0.001167,0.011096,0.025071,0.017925,0.002034,0.005076,0.006663,0.028636,0.016708,0.000000,0.000000,0.004866,0.000000,0.044632,0.019060,0.029891,0.014462,0.023616
257.781202,0.051194,0.044713,0.024608,0.035088,0.061115,0.057864,0.058012,0.049192,0.046540,0.055134,0.056018,0.072236,0.052240,0.060981,0.064207,0.098815,0.085205,0.000000,0.036067,0.060878,0.003562,0.007867,0.067623,0.044792,0.014332,0.014459,0.018695,0.002261,0.004054,0.039824,0.053048,0.037588,0.063740,0.000000,0.005601,0.002730,0.031005,0.028507,0.053553,0.000507,0.000512,0.000000,0.000000,0.008128,0.023493,0.024384,0.010784,0.031195,0.010211,0.000000,0.059534,0.005409,0.016282,0.000000,0.000000,0.023516,0.038031,0.000000,0.007338,0.000000
262.711864,0.080753,0.121278,0.083883,0.083910,0.083184,0.089116,0.089385,0.071617,0.048739,0.049013,0.086004,0.045859,0.086398,0.081286,0.070012,0.056424,0.073276,0.088901,0.041586,0.056418,0.029577,0.009565,0.034481,0.019412,0.008491,0.031634,0.070534,0.014012,0.000000,0.034172,0.046560,0.000000,0.018578,0.018460,0.035689,0.016404,0.022603,0.000000,0.028912,0.000000,0.028588,0.037986,0.038014,0.013930,0.025848,0.015297,0.006142,0.024048,0.010915,0.022482,0.026596,0.035014,0.057300,0.000000,0.016610,0.042790,0.000717,0.000000,0.000443,0.003414
267.642527,0.124857,0.135422,0.134877,0.083363,0.113678,0.136055,0.130215,0.127743,0.121527,0.134643,0.135535,0.101090,0.143472,0.123959,0.168949,0.178347,0.094109,0.124087,0.146834,0.118629,0.000000,0.038266,0.035577,0.002801,0.043039,0.015362,0.024788,0.010570,0.027156,0.000000,0.013773,0.029771,0.013406,0.023457,0.043675,0.031696,0.000000,0.036865,0.040244,0.020979,0.000000,0.000000,0.006777,0.005814,0.007128,0.000000,0.000000,0.008615,0.005879,0.013985,0.036428,0.014932,0.022501,0.000000,0.000000,0.001448,0.009453,0.014026,0.004122,0.023270
272.573190,0.179416,0.189500,0.243150,0.180899,0.137319,0.242098,0.181836,0.177580,0.206438,0.197347,0.226731,0.189980,0.224337,0.166297,0.251310,0.183316,0.164129,0.176557,0.156281,0.186194,0.009354,0.000000,0.021272,0.015155,0.055564,0.006453,0.012327,0.029256,0.007616,0.000000,0.018835,0.023227,0.000000,0.003336,0.022536,0.017815,0.017707,0.068308,0.010139,0.037503,0.000000,0.000000,0.013080,0.004634,0.000000,0.002858,0.000000,0.004469,0.000000,0.002458,0.000000,0.015289,0.029382,0.000000,0.002353,0.000000,0.006712,0.023862,0.000000,0.006782
277.503852,0.300709,0.294565,0.267990,0.282862,0.264511,0.301585,0.291738,0.240231,0.293132,0.281187,0.306237,0.286005,0.305160,0.297693,0.299804,0.301262,0.232426,0.302728,0.284956,0.278246,0.005152,0.000000,0.033245,0.014123,0.000000,0.036761,0.003307,0.034148,0.006224,0.007194,0.045223,0.027995,0.000000,0.035893,0.000000,0.007079,0.015880,0.043351,0.016711,0.022847,0.003961,0.007655,0.000000,0.006111,0.011224,0.000000,0.000000,0.012621,0.019074,0.000000,0.010836,0.023503,0.019796,0.010484,0.000000,0.018584,0.000000,0.019835,0.046691,0.000000
282.434515,0.335294,0.325346,0.271137,0.273610,0.265475,0.269648,0.362216,0.229078,0.298830,0.290065,0.298996,0.279070,0.238811,0.280195,0.309997,0.308162,0.248709,0.287677,0.293258,0.256088,0.040564,0.023752,0.000000,0.018067,0.033262,0.014765,0.000000,0.000000,0.022390,0.046573,0.009903,0.000000,0.000000,0.005782,0.000000,0.038814,0.045973,0.000000,0.023791,0.013206,0.033641,0.021490,0.035391,0.000000,0.035258,0.000000,0.000000,0.012052,0.009260,0.013114,0.001285,0.000453,0.037765,0.000000,0.024575,0.038212,0.007728,0.010459,0.004330,0.017519
287.365177,0.189874,0.196647,0.207106,0.201357,0.196665,0.172343,0.207491,0.165301,0.177458,0.228301,0.170436,0.205071,0.200057,0.205705,0.190860,0.231114,0.196675,0.210729,0.192117,0.186545,0.021865,0.000000,0.000000,0.000000,0.008883,0.000000,0.027218,0.034665,0.006437,0.005209,0.006360,0.015397,0.000000,0.000000,0.028047,0.037152,0.000000,0.017809,0.013170,0.008119,0.000140,0.006338,0.036414,0.001545,0.031757,0.011745,0.000000,0.000000,0.043513,0.000000,0.003486,0.000000,0.000000,0.027526,0.000000,0.022732,0.039675,0.007588,0.012701,0.000000
292.295840,0.149411,0.117663,0.113403,0.101887,0.140903,0.088876,0.132911,0.132008,0.147504,0.164699,0.133082,0.110532,0.099834,0.166303,0.115658,0.124195,0.075808,0.110183,0.168283,0.101129,0.003626,0.008989,0.000000,0.039289,0.037670,0.000000,0.000000,0.000000,0.023681,0.012001,0.000000,0.016934,0.025494,0.028111,0.008948,0.000000,0.010626,0.000000,0.011859,0.004256,0.010301,0.028396,0.000000,0.000000,0.000000,0.008887,0.054074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022726,0.011846,0.024056,0.006789,0.007873,0.018457,0.018563
297.226502,0.086673,0.101122,0.069041,0.101321,0.076750,0.054229,0.108208,0.081840,0.063055,0.077042,0.107004,0.077440,0.067246,0.043669,0.107505,0.073061,0.062527,0.087234,0.077600,0.071351,0.000000,0.014430,0.021692,0.000000,0.000000,0.019576,0.009461,0.058466,0.000200,0.007381,0.040194,0.027136,0.012428,0.011395,0.008570,0.000000,0.000000,0.001887,0.037502,0.005337,0.015205,0.016326,0.000000,0.026879,0.046565,0.000000,0.000000,0.028360,0.002096,0.005344,0.012582,0.001336,0.002610,0.000000,0.020435,0.011980,0.033124,0.004698,0.000000,0.009074
302.157165,0.045015,0.062767,0.081595,0.072535,0.069027,0.028641,0.056545,0.033484,0.049979,0.040741,0.054660,0.053930,0.034216,0.059906,0.007460,0.022315,0.013088,0.046966,0.038366,0.061614,0.011495,0.011307,0.000000,0.023440,0.004355,0.019571,0.000000,0.000000,0.002012,0.016757,0.015558,0.017728,0.017716,0.015697,0.000000,0.000000,0.014676,0.007739,0.009151,0.023189,0.026127,0.039336,0.000000,0.025709,0.035118,0.013489,0.006522,0.000000,0.008209,0.004180,0.000000,0.032083,0.000000,0.000000,0.000000,0.000632,0.000000,0.012207,0.000000,0.000000
